tilltalsnamn,2014,2015,2016,2017,2018,2019
Alexandros,7,9,9,10,11,9
Aléxandros,0,0,0,0,2,0
Alexandru,0,2,3,4,2,4
Alexei,0,0,0,0,2,0
Alexej,0,0,0,0,0,0
Alexi,4,5,4,2,3,4
Alexia,36,42,41,31,48,40
Alexie,0,0,0,0,2,0
Alexina,0,0,0,0,0,0
Alexios,2,0,2,0,0,0
Alexis,27,42,43,37,35,19
Alexius,2,3,2,4,3,0
Alexsander,3,0,0,0,2,0
Alexsandra,2,2,3,0,0,0
Alexsandro,0,0,0,0,0,0
Alexus,2,0,0,0,0,0
Alexx,0,0,0,0,0,0
Alexzander,0,0,0,0,0,2
Alexzandra,0,0,0,0,0,0
Aleya,3,0,2,6,2,7
Aleyah,0,3,3,4,2,4
Aleyna,7,2,4,4,5,5
Alezander,0,0,0,2,0,0
Alf,13,7,13,13,19,22
Alfa,0,0,0,0,0,0
Alfarouk,0,0,2,0,0,0
Alfhild,2,0,0,0,0,2
Alfia,0,0,0,0,2,0
Alfie,3,2,0,3,3,6
Alfons,66,69,75,65,54,65
Alfonso,0,0,0,0,0,0
Alfonz,0,2,0,0,0,0
Alfred,547,456,541,496,501,509
Alfredo,0,0,0,0,0,0
Alfrida,3,0,0,0,2,4
Algon,0,0,0,0,0,0
Algot,126,165,124,123,130,145
Algoth,2,0,3,3,0,0
Alhasan,0,0,0,0,0,0
Alhassan,0,0,0,0,0,0
Ali,147,151,175,179,150,173
Ali Efe,0,0,0,0,0,0
Ali Reza,2,0,0,0,0,0
Ali Ridha,2,0,0,0,0,0
Alia,6,10,12,8,13,17
Aliaa,0,0,0,0,2,0
Aliah,0,0,0,0,0,0
Aliana,0,3,0,0,0,2
Alias,0,0,0,0,0,0
Alica,0,4,0,0,0,0
Alican,0,3,0,0,0,0
Alice,778,828,893,871,751,670
Alíce,0,0,0,2,0,0
Alicea,0,0,0,0,0,0
Alicha,0,0,0,0,0,0
Alici,0,0,0,2,0,0
Alicia,518,466,608,647,513,467
Aliciah,0,0,0,0,0,0
Alicija,0,0,0,0,0,0
Alicja,11,2,7,11,13,10
Alida,5,0,4,3,5,6
Alide,0,0,0,0,0,0
Aliette,0,0,0,0,2,0
Alieu,0,0,0,2,3,2
Alihan,3,0,0,0,0,0
Aliisa,0,0,0,0,0,0
Alija,0,0,0,0,0,0
Alikhan,0,0,0,0,2,0
Aliki,0,0,0,0,0,0
Alim,0,0,0,0,2,0
Alima,0,2,2,0,5,0
Alin,10,16,13,11,10,12
Alina,90,96,95,95,100,105
Alinda,0,0,0,0,0,0
Alinde,0,4,0,0,0,2
Aline,17,20,22,19,20,21
Alinne,0,2,0,0,2,2
Alireza,0,2,0,0,0,0
Ali-Ridha,0,0,0,2,0,0
Alisa,29,18,34,17,26,17
Alisar,0,0,0,0,0,0
Alise,7,0,4,0,2,2
Alisha,14,10,9,10,11,4
Alishba,0,0,0,0,0,0
Alisia,3,4,4,6,9,9
Alison,3,2,3,2,5,2
Alissa,33,25,45,43,40,37
Alistair,0,0,0,0,2,0
Alita,0,0,0,0,0,0
Aliu,0,0,0,0,0,0
